发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,记录数,利润率,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
2,￥3,(￥61),￥170,￥130,提前装运,1,-47%,"Fiskars 剪刀, 蓝色",(￥61),2018/4/29,中国,华东,杭州,用品,曾惠,40%,2,浙江,办公用品,公司,US-2018-1357144,2018/4/27,二级,￥130
4,￥6,￥43,￥164,￥125,提前装运,1,34%,"GlobeWeis 搭扣信封, 红色",￥43,2018/6/19,中国,西南,内江,信封,许安,0%,2,四川,办公用品,消费者,CN-2018-1973789,2018/6/15,标准级,￥125
4,￥6,￥4,￥42,￥32,提前装运,1,13%,"Cardinal 孔加固材料, 回收",￥4,2018/6/19,中国,西南,内江,装订机,许安,40%,2,四川,办公用品,消费者,CN-2018-1973789,2018/6/15,标准级,￥32
4,￥6,(￥27),￥421,￥321,提前装运,1,-8%,"Kleencut 开信刀, 工业",(￥27),2018/12/13,中国,华东,镇江,用品,宋良,40%,4,江苏,办公用品,公司,US-2018-3017568,2018/12/9,标准级,￥321
2,￥3,￥550,"￥1,803","￥1,376",提前装运,1,40%,"KitchenAid 搅拌机, 黑色",￥550,2017/6/2,中国,中南,汕头,器具,万兰,0%,3,广东,办公用品,消费者,CN-2017-2975416,2017/5/31,二级,"￥1,376"
4,￥6,"￥3,784","￥14,584","￥11,130",提前装运,1,34%,"柯尼卡 打印机, 红色","￥3,784",2016/10/31,中国,华东,景德镇,设备,俞明,0%,9,江西,技术,消费者,CN-2016-4497736,2016/10/27,标准级,"￥11,130"
4,￥6,￥173,￥629,￥480,提前装运,1,36%,"Ibico 订书机, 实惠",￥173,2016/10/31,中国,华东,景德镇,装订机,俞明,0%,2,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,￥480
4,￥6,"￥2,684","￥11,348","￥8,660",提前装运,1,31%,"SAFCO 扶手椅, 可调","￥2,684",2016/10/31,中国,华东,景德镇,椅子,俞明,0%,4,江西,家具,消费者,CN-2016-4497736,2016/10/27,标准级,"￥8,660"
4,￥6,￥47,￥771,￥588,提前装运,1,8%,"Green Bar 计划信息表, 多色",￥47,2016/10/31,中国,华东,景德镇,纸张,俞明,0%,5,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,￥588
4,￥6,￥34,￥202,￥154,提前装运,1,22%,"Stockwell 橡皮筋, 整包",￥34,2016/10/31,中国,华东,景德镇,系固件,俞明,0%,2,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,￥154
2,￥3,￥4,￥569,￥434,提前装运,1,1%,"爱普生 计算器, 耐用",￥4,2015/12/24,中国,西北,榆林,设备,谢雯,0%,2,陕西,技术,小型企业,CN-2015-4195213,2015/12/22,二级,￥434
5,￥6,￥640,"￥3,104","￥2,369",提前装运,1,27%,"惠普 墨水, 红色",￥640,2018/6/6,中国,东北,哈尔滨,复印机,康青,0%,4,黑龙江,技术,消费者,CN-2018-5801711,2018/6/1,标准级,"￥2,369"
4,￥6,￥89,￥896,￥684,提前装运,1,13%,"Jiffy 局间信封, 银色",￥89,2016/6/9,中国,华东,青岛,信封,赵婵,0%,3,山东,办公用品,消费者,CN-2016-2752724,2016/6/5,标准级,￥684
4,￥6,￥344,"￥1,738","￥1,327",提前装运,1,26%,"SanDisk 键区, 可编程",￥344,2016/6/9,中国,华东,青岛,配件,赵婵,0%,5,山东,技术,消费者,CN-2016-2752724,2016/6/5,标准级,"￥1,327"
4,￥6,"￥2,849","￥7,779","￥5,937",提前装运,1,48%,"诺基亚 充电器, 蓝色","￥2,849",2016/6/9,中国,华东,青岛,电话,赵婵,0%,2,山东,技术,消费者,CN-2016-2752724,2016/6/5,标准级,"￥5,937"
3,￥1,"(￥3,963)","￥13,545","￥10,336",延迟装运,1,-38%,"KitchenAid 冰箱, 黑色","(￥3,963)",2017/11/25,中国,华东,徐州,器具,刘斯云,40%,7,江苏,办公用品,公司,US-2017-2511714,2017/11/22,一级,"￥10,336"
3,￥1,￥38,￥112,￥85,延迟装运,1,45%,"Novimex 圆形标签, 红色",￥38,2017/11/25,中国,华东,徐州,标签,刘斯云,0%,3,江苏,办公用品,公司,US-2017-2511714,2017/11/22,一级,￥85
2,￥3,"￥1,071","￥3,054","￥2,330",提前装运,1,46%,"Memorex 键盘, 实惠","￥1,071",2018/10/4,中国,华东,上海,配件,白鹄,0%,7,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,"￥2,330"
2,￥3,￥24,￥112,￥86,提前装运,1,28%,"Acme 尺子, 工业",￥24,2018/10/4,中国,华东,上海,用品,白鹄,0%,1,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,￥86
2,￥3,￥2,￥181,￥138,提前装运,1,2%,"Avery 孔加固材料, 耐用",￥2,2018/10/4,中国,华东,上海,装订机,白鹄,0%,5,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,￥138
2,￥3,￥127,￥521,￥397,提前装运,1,32%,"Cardinal 装订机, 回收",￥127,2018/10/4,中国,华东,上海,装订机,白鹄,0%,6,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,￥397
2,￥3,￥959,"￥2,796","￥2,133",提前装运,1,45%,"三星 办公室电话机, 整包",￥959,2018/10/4,中国,华东,上海,电话,白鹄,0%,7,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,"￥2,133"
2,￥3,"￥1,163","￥5,863","￥4,474",提前装运,1,26%,"Hewlett 传真机, 数字化","￥1,163",2018/10/4,中国,华东,上海,复印机,白鹄,0%,3,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,"￥4,474"
2,￥3,￥119,￥354,￥270,提前装运,1,44%,"Elite 开信刀, 工业",￥119,2018/10/4,中国,华东,上海,用品,白鹄,0%,2,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,￥270
7,￥6,(￥464),"￥2,147","￥1,638",延迟装运,1,-28%,"Sauder 书架, 金属",(￥464),2017/6/14,中国,华东,温岭,书架,贾彩,40%,4,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,"￥1,638"
